content,score,sentiment,predicted_sentiment,appVersion
"can you guys pleass don't put ""Hide song"" next to add Playlist?",2,Negative,Positive,9.1.52.1394
this app is vere fentastik,5,Positive,Negative,
Ads🤮🤢🤢,1,Negative,Positive,9.1.50.1906
meucicdance,2,Negative,Positive,9.1.52.1394
I love Spotify's dedication into making this app unusable🥰,1,Negative,Positive,9.1.52.1394
"The recent UI updates made it much harder to keep track of new releases from followed artists. The old “What’s New” section and visible Release Radar recommendations were one of Spotify’s best features for music discovery, and now they’re either hidden, inconsistent, or completely missing for many users. I shouldn’t have to manually check every artist page just to see new releases. Please bring back a clear and accessible feed for followed artists’ new music.",4,Positive,Negative,9.1.50.1906
"Spotify is a strong music streaming platform with a large library and good sound quality, but playback controls are inconsistent. The previous button is not always visible or easy to access, which makes navigation frustrating. A more stable and simple interface would improve usability and overall listening experience.",2,Negative,Positive,9.1.52.1394
the prices of subscription is high for students,5,Positive,Negative,9.1.44.2120
Playlist system is good,1,Negative,Positive,9.1.52.1394
l4nd ka app,5,Positive,Negative,
after paying 3months fees adds are still coming,5,Positive,Negative,
😔,2,Negative,Positive,
booooom,5,Positive,Negative,9.1.44.2120
ekdam put put potti h,5,Positive,Negative,
वास मेड ए रिचार्ज करवा दो एकदम फ्री में जो मैं गाना सुन सकूं सर फिर तुम्हें अभी 5 स्टार ट्रैक्टर भी दे दिया हूं,5,Positive,Negative,9.1.52.1394
you should remove and add copyright for some thieves who download the experimental artist's projects from soundcloud. it's all about collabration/دیالکتیک.,4,Positive,Negative,9.1.52.1394
"The app keeps on resetting and not letting me play the music I want, the adds get to frequent and the skips are limited. It soon gets annoying. Also, why do I have to pay for premium for music?",4,Positive,Negative,
"iye dah iye gratisan nih gua banyakin bae noh iklan lu banyakin, udha kebal gua walaupun gumoh dikit",4,Positive,Negative,9.1.44.2120
im tired of the ads,4,Positive,Negative,9.1.52.1394
"best app ever to many adds. please I really like music and it's a big part of my life. the adds are ruining the best music app ever. apart from the adds, great job, guys. you did amazing 😍😍",5,Positive,Negative,9.1.50.1906
mos def app ever,5,Positive,Negative,9.1.52.1394
New widget doesn't work,4,Positive,Negative,9.1.44.2120
"Please add the Whats new section back to the sidebar, please.",5,Positive,Negative,9.1.52.1394
please make one time payment option for 3 months 6 month or yearly besides auto pay one suggestion to Spotify team,5,Positive,Negative,9.1.52.1394
"tried to leave, I'm back now and not leaving again.",5,Positive,Negative,9.1.52.1394
"The only reason it's not a 5 is because of the ads. It starts with a low amount of ads then when you keep listening, the adds raise up too like FIVE ANNOYING ADDS LIKE WHAT?!",4,Positive,Negative,9.1.52.1394
bhai sabhi log free me use kro ek do ad hi sunne padte h to kyu free me paise waist karne 😝,5,Positive,Negative,9.1.52.1394
the adds,4,Positive,Negative,9.1.44.2120
Whimsical,5,Positive,Negative,9.1.52.1394
so many ads in non-premium versin,4,Positive,Negative,9.1.52.1394
not add in my game assistant,5,Positive,Negative,
"help me to fix my audio, I don't have it since may",1,Negative,Positive,
10 out of 10 app. but alot of crushing and not opening during the last 2 weeks.,5,Positive,Negative,9.1.52.1394
so so good,1,Negative,Positive,9.1.44.2120
👎,1,Negative,Positive,9.1.36.1948
The app which is soo poor that u gotta play only 7 to 9 songs a day and then you gotta buy a premium to play your favorite songs like seriously bro 🙏. And then when you cannot play you choice songs you can't even skip the songs... after skipping 2 3 songs you gotta buy a premium again to skip the songs. guys just prefer listening on YouTube instead. And then for the 7 to 9 songs you have to listen 2 advertisements of 30 seconds. Seriously man please make some changes 🙏,5,Positive,Negative,
sound capsule bugging,4,Positive,Negative,9.1.52.1394
all though I rated one at first now it's a five now because I can still choose songs there's a limit sadly but I have skip songs I don't like,5,Positive,Negative,9.1.52.1394
Ase hi 😀,1,Negative,Positive,9.1.52.1394
who doesnt open spotify if they want to listen to music on their device,5,Positive,Negative,
good but too many verifications steps like bro just let me log in😭🙏,2,Negative,Positive,9.1.52.1394
it's was awesome,1,Negative,Positive,9.1.50.1906
"ok lah, walau kebanyakan iklan",4,Positive,Negative,9.1.52.1394
the best app ever,1,Negative,Positive,
keep going 👍🙏,5,Positive,Negative,
recently it is lagging and taking ages to load up or search for things,4,Positive,Negative,9.1.52.1394
can't live without my music or spotify premium. can't be doing with apps.,5,Positive,Negative,9.1.52.1394
🚮,1,Negative,Positive,
مش بيفتح عندي,1,Negative,Positive,9.1.52.1394
"wow, #2 listening app in my opinion, sometimes glitch and song play only for 0.5s, then, stop, and doesn't even fade, like app is not limited in song background, it's just a glitch, when I just played Zalith Launcher 2 or minecraft java but modern and with orisma launcher style mobile. And, it crashed 2 times in NOT MINECRAFT JAVA, 2 months, yeah, like. Also it crashed, I had to reinstall app, change from us to sweden then back to us, my region in spotify I mean, just so it functions properly.",5,Positive,Negative,9.1.52.1394
easy,1,Negative,Positive,9.1.44.2120
😎,2,Negative,Positive,9.1.50.1906
The app is ok but every so often the app stops working and it just goes to a gray screen when I open it. Idk if it's only me but if it's the app it would be good if they worked on fixing it.,4,Positive,Negative,9.1.52.1394
"I love listening songs in Spotify,but recently it's showing ads after every 3 songs. It's quite frustrating. I hope they'll change it asap",5,Positive,Negative,9.1.52.1394
ads is only prblm rather than that the best,4,Positive,Negative,9.1.52.1394
pay to win really!,1,Negative,Positive,9.1.50.1906
it's ok but if you don't have the premium. then it basically treats you like trash.,4,Positive,Negative,9.1.52.1394
"I've used Spotify exclusively for 6yrs. I appreciate them & the great music I would gladly pay full price as I'm a professional musician I have unfortunately taken ill I can no longer earn money as a lead guitarist I emailed you once asking if you'd ever consider providing Spotify @al discount for loyal users on a fixed income as like the student discount. I'm a professional not a famous musician,. I hope you would give some consideration to my request in the near future 🎸 💕 youguys Rock on",4,Positive,Negative,9.1.52.1394
on the free version it would go two hours of no adds,5,Positive,Negative,9.1.52.1394
Can't even play previous song without premium I think soon they will even stop background play,5,Positive,Negative,9.1.52.1394
"Spotify had the best musics ever but there are too many ads And my app is not working, I've been updating it",4,Positive,Negative,
inferesting,5,Positive,Negative,9.1.52.1394
Don't even have to explain,5,Positive,Negative,
better,5,Positive,Negative,9.1.36.1948
it's fine until the latest update after updating the app I can't open the app again,4,Positive,Negative,9.1.52.1394
stop the ads,5,Positive,Negative,9.1.52.1394
😡😡,1,Negative,Positive,9.1.52.1394
"I love Spotify but the one thing I hate about it is the ads. I get so tired of these ads that I just go on YouTube. I don't want premium and I'm fine with the free version, I don't have any money to pay for premium so I don't think I'll need premium anytime soon, so please just let me listen to my music in peace I DON'T WANT premium because I'm a BROKE highschooler ok? I'm broke..",4,Positive,Negative,9.1.52.1394
can be better without premium,2,Negative,Positive,9.1.50.1906
"tried YouTube music over spotify, Spotify is better in every way.",5,Positive,Negative,9.1.52.1394
"awful.Ads popping up randomly while watching songs,6 skips per hour.Even Listening to offline music Is Premium.Other than that It's great and awesome,my go to music app along with YouTube.(not much)",5,Positive,Negative,9.1.52.1394
"sistema de mixagem e outros recursos excelentes, mas infelizmente só e possível ter uma experiência boa com o premium",5,Positive,Negative,
tomutch adds,4,Positive,Negative,9.1.52.1394
mast app hai,5,Positive,Negative,9.1.52.1394
it's sours of my entertainment,5,Positive,Negative,
this app is waste ⚠️,5,Positive,Negative,
stop the ads it's soo annoying,4,Positive,Negative,9.1.52.1394
hope next time I can pay for 3 months only 150 pesos😅,5,Positive,Negative,9.1.52.1394
"Nový update s pluskem místo srdíčka mi velice vyhovoval, nevím proč to bylo odstraněno:(",4,Positive,Negative,9.1.52.1394
why spotify don't making off line?,5,Positive,Negative,9.1.52.1394
wow🎧,1,Negative,Positive,
faltu,4,Positive,Negative,
why it requires subscription 😭,4,Positive,Negative,9.1.50.1906
"I love this app it's just there are SO many adds and ""to many skips""..? u can't even choose what song u want to listen to after 5 or 6 songs",4,Positive,Negative,9.1.50.1906
To many ads,5,Positive,Negative,9.1.6.1145
this app was great but it requires premium for full,4,Positive,Negative,
I can't keep play my music if I'm offline,4,Positive,Negative,9.1.50.1906
sedap boh lagu dia,5,Positive,Negative,9.1.50.1906
I can't subscribe using Google payments,4,Positive,Negative,9.1.52.1394
Restore the song speed feature The app is well designed and does a good job. Spotify recently allowed adjusting song speed (slower or faster) which works very well with playlists but suddenly removed that feature. The app is 4/5 without that feature and 5/5 with it. It's a significant improvement to be able to adjust song speed and save it. Restore this feature.,4,Positive,Negative,9.1.52.1394
too much ads,4,Positive,Negative,9.1.52.1394
one complaint you need to add a skip button.,5,Positive,Negative,9.1.52.1394
Great but the fing ad's are horrible,1,Negative,Positive,8.9.42.571
no words simply best but when their was 90% of data was remaining it was little malfunctioning that is only one draw back and is becoming little strict with its subscription it not making as to choose song and saying choose for tomorrow or get prime pack but it's not before this makes little disappointment if thay can solve this it will be better or rating will be rapidly decline or thay might start to delete Spotify so kind request for change that one please,4,Positive,Negative,9.1.52.1394
stop playing songs that not in my playlist,4,Positive,Negative,9.1.52.1394
it was having many songs but I should give money 💰 🤑,4,Positive,Negative,9.1.52.1394
this is not very to get access from Nigeria,5,Positive,Negative,
autoplay stopped working after the latest update - and thank you for fixing it,5,Positive,Negative,9.1.52.1394
spotify na,5,Positive,Negative,
no use,5,Positive,Negative,
Mast app h,4,Positive,Negative,
first class,5,Positive,Negative,9.1.52.1394
is very good apps to play music,1,Negative,Positive,9.1.50.1906
too many ads,4,Positive,Negative,9.1.52.1394
you are very nice,1,Negative,Positive,9.1.52.1394
you guys don't know that I want to rate 1000 Stars but not recommended so it' 🫡🫡🫡😌😔🙂‍↕️😌😔🙂‍↕️🙂‍↕️🙂‍↔️🙂‍↕️😔,5,Positive,Negative,9.1.52.1394
"What is wrong with the app right now?! I try to enter and all there is is a black screen. Is it down or something?! ________________________________________ Fantastic when you go Premium! There will be an occasional rare song or track that you won't find in there, but other than that, all the music you want and need, baby! Create & share custom playlists. Unlimited skips and returns and NO ADS! So, go Premium!",5,Positive,Negative,9.1.52.1394
had to delete my only review to post a new one. won't let comment or post on anything about Spotify to let you know how the experience is going. again had to delete an old review just to let know an update complete bs on my opinion. used to be a good app and service. I will not be subscribing to anything ever again. only put 5 star to show on top cause they only tell you the best. have a screen shot of the post Im about to take to verify if it goes through my or not or even ever gets resolve.,5,Positive,Negative,9.1.50.1906
offf,5,Positive,Negative,
"Älskar appen, kan inte leva utan den, men den senaste uppdateringen gör att appen kraschar konstant. Måste fixas.",5,Positive,Negative,9.1.52.1394
Good app but why have you made the bottom menu see through? Looks terrible,4,Positive,Negative,9.1.52.1394
"Absolutely massive choice of music and great quality sound ........ Real shame they stopped car view as I love to listen to music while I drive. You can pay for a friend device but as your already paying the subscription then I think it's poor . lately I've been having a real issue with Spotify stopping only a few seconds in to a song, having to stop the app delete it and clear cash data to reinstall it. love Spotify but it's app is disappointing.",4,Positive,Negative,9.1.52.1394
nice app 💯यतछ,1,Negative,Positive,
Let play downloaded songs offline,5,Positive,Negative,9.1.44.2120
bad🤮🤮🤮,1,Negative,Positive,9.1.40.1486
adds are boring,4,Positive,Negative,9.1.52.1394
"I am using Spotify from many years as this is the best app for listening music but from few month I am unable to see lyrics its only show me "" couldn't load lyrics of this song "" but this is shown in every song .. so for lyrics i am using youtube .. don't know why this is happening... but I hope this will recover as soon as possible ..",4,Positive,Negative,
Current update is weird,5,Positive,Negative,9.1.52.1394
mom told me to uninstall it :(,5,Positive,Negative,
Songs won't even show on your playlist in the latest update,5,Positive,Negative,
good music,1,Negative,Positive,9.1.52.1394
Eats up a lot of space even when you don't download songs.,4,Positive,Negative,9.1.50.1906
"update, i buyed premium. im tired",5,Positive,Negative,9.1.52.1394
i don't have any interest in this... but I just download n did the subscription .. soo tht BARCA 💙❤ would earn some money to buy players that's the only reason... m giving it ⭐⭐⭐⭐⭐+ star too...,5,Positive,Negative,9.1.52.1394
"""My experience with the song is that it is beautiful to listen to.""",1,Negative,Positive,9.1.52.1394
please stop making ghost advertisements when I'm alone at night that time that ghost advertise come,4,Positive,Negative,
Allow to download free,1,Negative,Positive,
Spotify without premium is trace,1,Negative,Positive,
🙏🤣,1,Negative,Positive,9.0.28.630
this nice and wonderful I love this app this app is so good and listening studends are excited to this is so good I have no words to complement this appi love this app I love this the name is Spotify I love this songs l lyrics hahaha,1,Negative,Positive,9.1.52.1394
"The app is great in many aspects, but there are just too many ads if you don’t pay for the premium version.",2,Negative,Positive,9.1.52.1394
remove the annoying pause button in 2x2 widget,4,Positive,Negative,
good but ad mostly played,2,Negative,Positive,9.1.52.1394
too many ads,4,Positive,Negative,
it's cool but my music it's always back in the start,2,Negative,Positive,9.1.52.1394
haksh,5,Positive,Negative,
"didi Spotify gw error,benerin wok itu ga rispek man,pen denger lagu² cihuyy",5,Positive,Negative,9.1.50.1906
always something went wrong,5,Positive,Negative,
I used to use this app ages ago. I need to find all my old playlist. I miss this app,5,Positive,Negative,9.1.48.1663
why would you use a different music app?!!??,5,Positive,Negative,9.1.50.1906
I would give this more rating if I don't get too much ads and also my songs keep speeding up.It really annoyed me especially when I'm listening to my favourite song.K hope you guys can fix this bug,4,Positive,Negative,9.1.52.1394
Testing,5,Positive,Negative,9.1.52.1388
why was a woman moaning in my ear,5,Positive,Negative,9.1.50.1906
why is my Spotify working so slow as if it doesn't hv any internet,5,Positive,Negative,9.1.52.1394
I do not need an explanation.,5,Positive,Negative,9.1.52.1394
"just amazing, except for the constant necessity to buy premium. man, can't even choose my own songs",4,Positive,Negative,9.1.44.2120
Its great but the ads are out of control without premium,2,Negative,Positive,9.1.50.1906
Disappointed by the raise in rates. I canceled because of the raise in price.,4,Positive,Negative,9.1.52.1394
I'm only subscribing so that you give better deals to BARÇA.,5,Positive,Negative,
Worst update in history,5,Positive,Negative,9.1.50.1906
"I suddenly can't autoplay any song, they somehow turn into single queue track",4,Positive,Negative,9.1.52.1394
very much adds,4,Positive,Negative,
although I use the premium version mostly but the free version could be improved tbh please consider removing only 6 songs to play in a day,4,Positive,Negative,9.1.44.2120
ok,2,Negative,Positive,9.1.50.1906
it's good to use,1,Negative,Positive,9.1.44.2120
can be better,2,Negative,Positive,9.1.48.1663
Best advertisement app😍👆,5,Positive,Negative,
"please stop asking for premiem or what ever to listen to our choice off music in our playlist it's annoying me that I can't listen to the music I want, so please fix that and ask for premiem if they want go listen to music offline",5,Positive,Negative,9.1.50.1906
more ads show that difficult to use,4,Positive,Negative,
to many ads not able to listen peacefully wanted to give 5 stars,4,Positive,Negative,9.1.50.1906
dawg its expensive! plus the free one js sucks man. wen i was in free it said 30 min of free listening and 1 song later AD'S b headed ahh comes in and kicks me in my shins dawg. if u want this js buy premium,4,Positive,Negative,9.1.52.1394
How tf can i be listening to a book all day then the next day the book is no longer in my region!! I pay for this what the! I had less then half left! What about the plot!! You are killing me here!,4,Positive,Negative,9.1.50.1906
why not open,5,Positive,Negative,
💩,1,Negative,Positive,9.1.14.864
"Since yesterday my songs are overlapping and I can't switch it off. It is really annoying features for me, it's literally driving me crazy, I have ADHD and Spotify helped me to zone out. Probably gonna cancel my subscription.",5,Positive,Negative,
When I was on the app it was great just the adds were kinda weird because and also I could only pick 6 songs and skips before it played songs on my playlists alone.,4,Positive,Negative,9.1.24.1739
too much ada,4,Positive,Negative,9.1.50.1906
🤫😭,1,Negative,Positive,9.1.50.1906
love spotify but as of recently it seems to have a few bugs and the song radio is not working anymore.,1,Negative,Positive,9.1.52.1394
❤️,1,Negative,Positive,
Im gonna buy the premium cause Barca needs that 150mil for Alvarez Deal!,4,Positive,Negative,9.1.50.1906
"Spotify, what more do u need? I'd recommend you go for the full package for an ad free experience. nobody offers more choice .",5,Positive,Negative,9.1.50.1906
the ads are kind of annoying,4,Positive,Negative,9.1.50.1906
excellent for anyday anywhere🤩🤩,1,Negative,Positive,9.1.44.2120
I've taken the premium but when I open the app it still shows ads and asks me to take premium.. even though the amount was deducted from my account.. look into this please.. I've been using Spotify for almost 8-10 years now.. and this is the first time something like this happened.. rest is good tho.. I'm rating it 5 stars.. please look into this matter,5,Positive,Negative,9.1.50.1906
meh,5,Positive,Negative,9.1.16.1450
ch@t!ye hai ek song ko add ke sath bhi reply nahi kar sakte,1,Negative,Positive,9.1.50.1906
ok ok h,2,Negative,Positive,9.1.50.1906
"not allowing free download 😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞. , 😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞, in a way of getting the time will tell the difference about this and all of them to you have a nice day",2,Negative,Positive,9.1.44.2120
ye app kisi bhi app per chal jata hai,5,Positive,Negative,9.1.2.1253
I love this app but it's a little bit too expensive nowadays,2,Negative,Positive,9.1.50.1906
It is messing up bad. All the songs I play they skip right to end. The songs won't play on headphones or my speaker without it skipping. I am very unhappy about this update (awesome app) 05/27/26,5,Positive,Negative,9.1.50.1906
search any music available but any one or two songs playing after adds so bD feeling coming,4,Positive,Negative,9.1.50.1906
"lapar sekali, iklannya 6",4,Positive,Negative,
"(5-28-2026)I haven't used this app but this once today, I usually use the same music app I've used since apps were invented because now and days every so with a big name or big platform wants you to pay to do anything on them. always felt that Spotify is one of those apps, I can't give a proper review off of just one use so I'll return with an update on that not. So far so good but who knows how things will change..... we'll see huh? 😊",4,Positive,Negative,9.1.50.1906
"this is a not an app it's a mobile haven, I request to all please try one time.",5,Positive,Negative,9.1.50.1906
better then youtube music.,5,Positive,Negative,9.1.50.1906
The app is good but before the music start their ads which I didn't want but they do this everytime and I hate it the most,5,Positive,Negative,
what I wanted to listen to when I wanted to listen to it!,5,Positive,Negative,9.1.50.1906
"Less feature than desktop app like seeing friend's activity. Instead of adding the desktop features, they added useless and unwanted podcast suggestions or new release of new unknown artist that idgaf EDIT: with new update now we can see friends' activity. Good job!",5,Positive,Negative,
i think Boom play is Much better than Spotify,2,Negative,Positive,8.9.86.551
Can you remove the share function that pops up when you try to screenshot lyrics? Makes something that was easy a hassle.,4,Positive,Negative,9.1.50.1906
I've been trying to find ways to login back into my account but I forgot My password and everything I tried it doesn't work,4,Positive,Negative,9.1.50.1906
"Melhor aplicativo de música que eu já usei, mas pecam muito na opção de música aleatória. Quando você está em uma playlist e utiliza essa função, eles sorteiam a música, mas depois de um tempo as músicas ficam sorteadas na mesma ordem, então não adianta muito",4,Positive,Negative,9.1.50.1906
sotimes it doesn't let us skip songs bcz of premium and ads have been way to many recently and that too there all at once like the other day the app played 4 ads very annoying when the vibe is already set and atp 2 ads are acceptable but 4.....nah,4,Positive,Negative,9.1.50.1906
spotify is the only app I need. They should just stick to music though. The audio books are a money trap. I pay for premium and I've added family and friends so they can enjoy it too. As long as Spotify doesn't get too greedy they'll be five stars.,5,Positive,Negative,9.1.50.1906
mast haii vese too lakin ab add bhot aate hai,5,Positive,Negative,9.1.44.2120
offline no available 😔,4,Positive,Negative,9.1.50.1906
Best Music App - I used to be on that other application from loyalty. What a terrible delay and waste of music apple.,5,Positive,Negative,9.1.50.1906
"please remove the swipe to skip feature, if i want to skip a song, I will press the skip button",4,Positive,Negative,9.1.50.1906
was a good app...,1,Negative,Positive,9.1.50.1906
no review necessary....but pay the artists properly,5,Positive,Negative,9.1.50.1906
"pretty good overall such a great variety of genres and styles but my ONLY problem. is that I don't have Spotify premium and I get BOMBARDED💣 with ads. I was listening to a song (risk by lace, you should try her music out) and I got 8. EIGHT FRICKING ADS. IN 1 SONG. THE SONG IS 5 MINUTES LONG 😭 LOCK IN SPOTIFY.",4,Positive,Negative,9.1.50.1906
for naat,5,Positive,Negative,9.1.50.1906
so much felling to fell in songs,5,Positive,Negative,9.1.50.1906
too many adds,4,Positive,Negative,9.1.50.1906
"latest update completely broke the app for me. if I play it just starts skipping through songs and then says something went wrong try again but just keeps giving me the same error. I've tried force stopping, clearing cache, clearing data, signing out and back in and nothing works. edit: reinstall fixed the issue.",4,Positive,Negative,9.1.50.1906
ver nice app,1,Negative,Positive,
the app is good but I just brought the premium standard of 99 for 3 months the money is deducted from my account but i didn't got any premium there is still ads and I can't play the music as i want,4,Positive,Negative,
too much charges per month,5,Positive,Negative,9.1.50.1906
"I've had a good experience with the app, but if another order might be added to the Playlists, where number of plays also determine the order of songs in the playlist. Ranking it from highest number of plays to lowest number of plays",5,Positive,Negative,9.1.50.1906
good amd portable music worldwide,1,Negative,Positive,9.1.50.1906
Yes I mean wonderful,1,Negative,Positive,
"I can't listen to a track without it being shuffled with trillion other tracks from artists i don't really listen to, like why would you force me to listen to 30 songs from dance pop and country and r&b when all i wanted to do is listen to a rock song ?",4,Positive,Negative,9.1.50.1906
shuffles are not correct,5,Positive,Negative,9.1.44.2120
mast applications hai for mens,5,Positive,Negative,9.1.44.2120
adds r killing it,4,Positive,Negative,9.1.50.1906
PLEASE BRING BACK THE DISCO ICON OMG?!!!!! I DIDNT EVEN GET IT ON MY PHONE BCS BETA PROGRAM IS FULL it needs to be permanent 🙏🙏🙏🙏🙏,4,Positive,Negative,9.1.50.1906
"Mejor qué YouTube , sin publicidad cada 30 Segundo's",5,Positive,Negative,8.7.48.1058
Kam net main gaana sunne ka sabse aacha source h,5,Positive,Negative,9.1.50.1906
"the adds sometimes are longer then the times you've listened to a song, like you could listen to one song that is for one minute and then youll get a 5 min add. also it wont let u pick a song after like an hour of listening to songs, also it recommends songs mid Playlist which to be fair its annoying. over all I do like Spotify but then adds annoy me to much",4,Positive,Negative,9.1.44.2120
I can't pay using my carrier,5,Positive,Negative,9.1.50.1906
Spotify>> apple music,5,Positive,Negative,9.1.50.1906
os gajos sao nices blema quando vc atrasa mensalidade ihh 0 perdao,5,Positive,Negative,
"Trust me, you'll definitely ask yourself why you hadn't joined Spotify sooner than yesterday!?!?",5,Positive,Negative,9.1.44.2120
algortima di hp sama desktop lebih bagus di desktop,4,Positive,Negative,
bcz ur servers sometimes crash. otherwise the chats option is insane,4,Positive,Negative,9.1.50.1906
"the Songs are good but not all the songs are present , we can hear only a few times our favourite songs and we cannot choose the song which we want to hear . Spotify pls fix it",4,Positive,Negative,9.1.44.2120
I really like it just sucks on the phones you only get 6 skips a day but computers and tvs you can skip and choose songs all day long.,4,Positive,Negative,9.1.44.2120
"Spotify hang issue&restart issue.After listening for long time&changing lot of songs lot of time,then it start hanging.Add karaoke mode,in which tone only play.Add a option to play a particular song/playlist in any specific song.Add a option to transfer playlist from other sources directly in the app.Add set reminder option to play song/playlist in morning/any time.If play song on 2nd phone&same account login on1st phone&i playing song from 2ndphone i can control from 1stphone, add vol control",4,Positive,Negative,9.1.50.1906
i cant give five points becase it slow in my phone,4,Positive,Negative,9.1.44.2120
it's okay but expensive. atleast I can listen to a book,4,Positive,Negative,9.1.50.1906
just use this bro,5,Positive,Negative,
I love this app :),1,Negative,Positive,9.1.50.1906
"I would have put 5 stars. but over the last year and a half the amount of advertising has gotten really extreme!!! ( with the free version. ) it used to be a lot better 2 years ago. but I shouldn't complain, could j7st pay for premium!!! so it is what it is.",4,Positive,Negative,9.1.50.1906
"The version on phone needs a little upgrading because on Tablet, I skip to any bit of a song that I like, on phone I can't do that. Also while a song is playing and I'm scrolling to the bottom of the playlist, I can't click the last song because the song that is playing is in the way.",4,Positive,Negative,9.1.50.1906
what do I keep seeing Spotify is trying to play?,5,Positive,Negative,9.1.50.1906
"with premium, this app unstoppable",5,Positive,Negative,9.1.50.1906
"Не могу сказать, что приложение ужасное, поскольку в нём, в отличие от других сервисов, есть множество музыки и исполнителей, которым дали хороший такой грин лайт в рекомендациях, да и ""диджей"" хороший. Минус — для большинства функций в приложении нужен премиум, но он довольно дешёвый, не скупитесь, приобретите.",5,Positive,Negative,9.1.50.1906
If you don't use it I judge you,5,Positive,Negative,9.1.50.1903
there are too many adds and they disturb our moods of song,4,Positive,Negative,
we should have get to pick are music and press skip for free,2,Negative,Positive,9.1.50.1906
"yes it ask for premium it's fine because every app ask for, still my favourite",5,Positive,Negative,9.1.44.2120
great but why an ad or multiple every 2 songs,4,Positive,Negative,9.1.50.1906
"It's a joyful way to while away the day. So many levels of delicious sounds, vibes and artists to enjoy. Bloody ads are ruining it!",4,Positive,Negative,9.1.50.1906
app keeps stopping music. not sure if it is offline mode related or an update but every few seconds the song stops as though I paused the music.,4,Positive,Negative,9.1.50.1906
they fixed my problem 💯 Spotify keep doing what your doing 🙏,5,Positive,Negative,9.1.50.1906
"user-end is good, but premium is too expensive and without premium its garbage. also pay your artists, Spotify.",4,Positive,Negative,9.1.50.1906
"supposed to be a 5 but if you use Spotify a little longer they won't let you choose what songs to play, they too greedy",4,Positive,Negative,9.1.32.2083
Please add deletation of recently played musics and Playlist otherwise its a good platform... please I request you,1,Negative,Positive,9.1.50.1906
It's amazing!!,1,Negative,Positive,9.1.50.1906
Nise Ap 👌👌👌,5,Positive,Negative,
"bnyk iklan, gk worth membership nya",2,Negative,Positive,9.1.50.1906
"Aku dah guna Spotify hampir setiap hari untuk kerja, drive, dan rehat. Feature Daily Mix dan Discover Weekly memang tepat ikut selera aku, banyak lagu baru yang aku tak jumpa kalau cari sendiri. Kualiti audio clear, takde lag walaupun guna data. Playlist offline pun sangat membantu masa line slow. Berbaloi untuk langgan Premium.”",5,Positive,Negative,9.1.50.1906
Why did you guys remove the Auto fade feature?,4,Positive,Negative,9.1.50.1906
"Kinda disappointed in the price change of premium, though it is still pretty affordable, i hope you guys put out more promo for current premium users aswell not just new users.",4,Positive,Negative,9.1.50.1906
lost replay due to having no primemum,5,Positive,Negative,9.1.50.1906
not that good but ok,2,Negative,Positive,9.1.50.1906
ok,1,Negative,Positive,
I wish there was on ads without paying premium.,5,Positive,Negative,9.1.50.1906
bezt one yet,5,Positive,Negative,9.1.50.1906
this app is not good,4,Positive,Negative,
🤮,1,Negative,Positive,9.1.50.1906
"Spotify is an alright app for a user who doesn't have premium. You can use it for music of course and pick and choose which songs you like. I do have 2 problems with it; when you want to play an album or such, it will play random songs outside the album. I know it's just a thing they do with playlists, but if I want to listen to that one album, please let me. Another gripe is the lack of freedom in free mode. I cannot pick what songs I want to play in my liked playlist if I do it too much. Good",4,Positive,Negative,9.1.50.1906
great but now im getting 5 ads every 5 to 10 min no point in the 30 min of ad free listening anymore 😑,4,Positive,Negative,9.1.50.1906
3-5 advisement???? after one song😵‍💫,1,Negative,Positive,
"Everything you'd need in a music app, but downloading songs should be part of the standered instead of premium.",4,Positive,Negative,9.1.50.1903
"this is a great app, but it's so cash grab, what do you mean I have to pay to download music.",2,Negative,Positive,
"EDIT to say it is now fixed and no longer skipping. Not sure if it's a Spotify issue or Android Auto, but songs constantly skip like a scratched record, have reinstalled Spotify to see if it helps fix the issue.",5,Positive,Negative,9.1.50.1906
"Spotify ialah aplikasi penstriman muzik yang membolehkan pengguna mendengar jutaan lagu dan podcast secara dalam talian. Aplikasi ini menarik kerana mempunyai kualiti audio yang baik, cadangan lagu yang sesuai dan pelbagai playlist menarik. Namun, versi percuma mempunyai iklan dan beberapa ciri terhad. Sesuai untuk pencinta muzik dan hiburan audio.",5,Positive,Negative,
temen kerja yg asyik,5,Positive,Negative,9.1.50.1906
Too much add tbh,4,Positive,Negative,9.1.50.1906
veel reclame en ook de zelfde als je niet betaalt en wel veel meer functi als je betaalt,4,Positive,Negative,9.1.50.1906
bro don't play too much ad,5,Positive,Negative,9.1.42.2058
I hate it when music interrupts my never ending stream of ads ngl,4,Positive,Negative,9.1.50.1906
still don't have messenges option fsr also i want the canvas option here in BD 😭😭😭,5,Positive,Negative,9.1.50.1906
The DJ does not recommend new songs or vary too much within the liked genres,4,Positive,Negative,9.0.36.697
"Ich habe Spotify Premium und habe ganz viel Spaß bei der Nutzung, gerade der personalisierte KI DJ trifft immer wieder genau das, was ich gerade hören möchte.",5,Positive,Negative,9.1.50.1906
please stop give me ads I am a child I don't 😤 😔 have money please 👍👍👍😏😏😓😓😀😀😀😀,5,Positive,Negative,9.1.50.1906
